//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-20-2019
//--  Time: 21:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 180 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 90 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
859	4.78	48 	4.194
860	4.54	45 	4.199
861	4.31	43 	4.204
862	4.07	41 	4.209
863	3.83	38 	4.214
864	3.59	36 	4.219
865	3.35	33 	4.224
866	3.11	31 	4.229
867	2.86	29 	4.233
868	2.62	26 	4.238
869	2.37	24 	4.243
870	2.13	21 	4.248
871	1.88	19 	4.253
872	1.63	16 	4.258
873	1.38	14 	4.263
874	1.13	11 	4.268
875	0.87	9 	4.272
876	0.62	6 	4.277
877	0.36	4 	4.282
878	0.11	1 	4.287
879	-0.15	-2 	4.292
880	-0.41	-4 	4.297
881	-0.67	-7 	4.302
882	-0.93	-9 	4.307
883	-1.20	-12 	4.312
884	-1.46	-15 	4.316
885	-1.73	-17 	4.321
886	-2.00	-20 	4.326
887	-2.26	-23 	4.331
888	-2.53	-25 	4.336
889	-2.81	-28 	4.341
890	-3.08	-31 	4.346
891	-3.36	-34 	4.351
892	-3.63	-36 	4.355
893	-3.91	-39 	4.360
894	-4.19	-42 	4.365
895	-4.47	-45 	4.370
896	-4.76	-48 	4.375
897	-5.04	-50 	4.380
898	-5.33	-53 	4.385
899	-5.62	-56 	4.390
900	-5.91	-59 	4.395
901	-6.20	-62 	4.399
902	-6.49	-65 	4.404
903	-6.79	-68 	4.409
904	-7.09	-71 	4.414
905	-7.39	-74 	4.419
906	-7.69	-77 	4.424
907	-7.99	-80 	4.429
908	-8.30	-83 	4.434
909	-8.61	-86 	4.438
910	-8.92	-89 	4.443
911	-9.23	-92 	4.448
912	-9.54	-95 	4.453
913	-9.86	-99 	4.458
914	-10.18	-102 	4.463
915	-10.50	-105 	4.468
916	-10.82	-108 	4.473
917	-11.15	-112 	4.478
918	-11.48	-115 	4.482
919	-11.81	-118 	4.487
920	-12.14	-121 	4.492
921	-12.48	-125 	4.497
922	-12.82	-128 	4.502
923	-13.16	-132 	4.507
924	-13.50	-135 	4.512
925	-13.85	-139 	4.517
926	-14.20	-142 	4.521
927	-14.55	-146 	4.526
928	-14.91	-149 	4.531
929	-15.27	-153 	4.536
930	-15.63	-156 	4.541
931	-15.99	-160 	4.546
932	-16.36	-164 	4.551
933	-16.73	-167 	4.556
934	-17.11	-171 	4.561
935	-17.49	-175 	4.565
936	-17.87	-179 	4.570
937	-18.25	-183 	4.575
938	-18.64	-186 	4.580
939	-19.04	-190 	4.585
940	-19.43	-194 	4.590
941	-19.83	-198 	4.595
942	-20.24	-202 	4.600
943	-20.65	-206 	4.604
944	-21.06	-211 	4.609
945	-21.48	-215 	4.614
946	-21.90	-219 	4.619
947	-22.33	-223 	4.624
948	-22.76	-228 	4.629
949	-23.19	-232 	4.634
950	-23.64	-236 	4.639
951	-24.08	-241 	4.644
952	-24.53	-245 	4.648
953	-24.99	-250 	4.653
954	-25.45	-255 	4.658
955	-25.92	-259 	4.663
956	-26.39	-264 	4.668
957	-26.87	-269 	4.673
958	-27.36	-274 	4.678
959	-27.85	-279 	4.683
960	-28.35	-283 	4.688
