//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-12-2018
//--  Time: 12:34
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 320.0 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 180.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
375	94.62	946 	1.831
376	94.41	944 	1.836
377	94.21	942 	1.841
378	94.00	940 	1.846
379	93.80	938 	1.851
380	93.60	936 	1.855
381	93.39	934 	1.860
382	93.19	932 	1.865
383	92.99	930 	1.870
384	92.78	928 	1.875
385	92.58	926 	1.880
386	92.38	924 	1.885
387	92.18	922 	1.890
388	91.97	920 	1.895
389	91.77	918 	1.899
390	91.57	916 	1.904
391	91.37	914 	1.909
392	91.17	912 	1.914
393	90.97	910 	1.919
394	90.77	908 	1.924
395	90.57	906 	1.929
396	90.37	904 	1.934
397	90.17	902 	1.938
398	89.97	900 	1.943
399	89.77	898 	1.948
400	89.58	896 	1.953
401	89.38	894 	1.958
402	89.18	892 	1.963
403	88.98	890 	1.968
404	88.79	888 	1.973
405	88.59	886 	1.978
406	88.39	884 	1.982
407	88.20	882 	1.987
408	88.00	880 	1.992
409	87.80	878 	1.997
410	87.61	876 	2.002
411	87.41	874 	2.007
412	87.22	872 	2.012
413	87.02	870 	2.017
414	86.83	868 	2.021
415	86.64	866 	2.026
416	86.44	864 	2.031
417	86.25	862 	2.036
418	86.05	861 	2.041
419	85.86	859 	2.046
420	85.67	857 	2.051
421	85.48	855 	2.056
422	85.28	853 	2.061
423	85.09	851 	2.065
424	84.90	849 	2.070
425	84.71	847 	2.075
426	84.51	845 	2.080
427	84.32	843 	2.085
428	84.13	841 	2.090
429	83.94	839 	2.095
430	83.75	838 	2.100
431	83.56	836 	2.104
432	83.37	834 	2.109
433	83.18	832 	2.114
434	82.99	830 	2.119
435	82.80	828 	2.124
436	82.61	826 	2.129
437	82.42	824 	2.134
438	82.23	822 	2.139
439	82.04	820 	2.144
440	81.85	819 	2.148
441	81.67	817 	2.153
442	81.48	815 	2.158
443	81.29	813 	2.163
444	81.10	811 	2.168
445	80.91	809 	2.173
446	80.73	807 	2.178
447	80.54	805 	2.183
448	80.35	804 	2.188
449	80.16	802 	2.192
450	79.98	800 	2.197
451	79.79	798 	2.202
452	79.61	796 	2.207
453	79.42	794 	2.212
454	79.23	792 	2.217
455	79.05	790 	2.222
456	78.86	789 	2.227
457	78.68	787 	2.231
458	78.49	785 	2.236
459	78.31	783 	2.241
460	78.12	781 	2.246
461	77.94	779 	2.251
462	77.75	778 	2.256
463	77.57	776 	2.261
464	77.38	774 	2.266
465	77.20	772 	2.271
466	77.01	770 	2.275
467	76.83	768 	2.280
468	76.65	766 	2.285
469	76.46	765 	2.290
470	76.28	763 	2.295
471	76.09	761 	2.300
472	75.91	759 	2.305
473	75.73	757 	2.310
474	75.55	755 	2.314
475	75.36	754 	2.319
476	75.18	752 	2.324
477	75.00	750 	2.329
478	74.82	748 	2.334
479	74.63	746 	2.339
480	74.45	745 	2.344
481	74.27	743 	2.349
482	74.09	741 	2.354
483	73.91	739 	2.358
484	73.72	737 	2.363
485	73.54	735 	2.368
486	73.36	734 	2.373
487	73.18	732 	2.378
488	73.00	730 	2.383
489	72.82	728 	2.388
490	72.64	726 	2.393
491	72.46	725 	2.397
492	72.28	723 	2.402
493	72.10	721 	2.407
494	71.91	719 	2.412
495	71.73	717 	2.417
496	71.55	716 	2.422
497	71.37	714 	2.427
498	71.19	712 	2.432
499	71.01	710 	2.437
500	70.83	708 	2.441
501	70.65	707 	2.446
502	70.48	705 	2.451
503	70.30	703 	2.456
504	70.12	701 	2.461
505	69.94	699 	2.466
506	69.76	698 	2.471
507	69.58	696 	2.476
508	69.40	694 	2.480
509	69.22	692 	2.485
510	69.04	690 	2.490
511	68.86	689 	2.495
512	68.68	687 	2.500
513	68.51	685 	2.505
514	68.33	683 	2.510
515	68.15	681 	2.515
516	67.97	680 	2.520
517	67.79	678 	2.524
518	67.61	676 	2.529
519	67.44	674 	2.534
520	67.26	673 	2.539
521	67.08	671 	2.544
522	66.90	669 	2.549
523	66.72	667 	2.554
524	66.55	665 	2.559
525	66.37	664 	2.563
526	66.19	662 	2.568
527	66.01	660 	2.573
528	65.84	658 	2.578
529	65.66	657 	2.583
530	65.48	655 	2.588
531	65.30	653 	2.593
532	65.13	651 	2.598
533	64.95	649 	2.603
534	64.77	648 	2.607
535	64.60	646 	2.612
536	64.42	644 	2.617
537	64.24	642 	2.622
538	64.06	641 	2.627
539	63.89	639 	2.632
540	63.71	637 	2.637
541	63.53	635 	2.642
542	63.36	634 	2.646
543	63.18	632 	2.651
544	63.00	630 	2.656
545	62.83	628 	2.661
546	62.65	627 	2.666
547	62.47	625 	2.671
548	62.30	623 	2.676
549	62.12	621 	2.681
550	61.94	619 	2.686
551	61.77	618 	2.690
552	61.59	616 	2.695
553	61.42	614 	2.700
554	61.24	612 	2.705
555	61.06	611 	2.710
556	60.89	609 	2.715
557	60.71	607 	2.720
558	60.53	605 	2.725
559	60.36	604 	2.729
560	60.18	602 	2.734
561	60.01	600 	2.739
562	59.83	598 	2.744
563	59.65	597 	2.749
564	59.48	595 	2.754
565	59.30	593 	2.759
566	59.12	591 	2.764
567	58.95	589 	2.769
568	58.77	588 	2.773
569	58.60	586 	2.778
570	58.42	584 	2.783
571	58.24	582 	2.788
